TE_name	ClassI_LTR_Copia	ClassI_LTR_Gypsy
ClassI_LTR_Copia_31	1.0	1.7195526e-16
ClassI_LTR_Copia_32	1.0	3.7194648e-22
ClassI_LTR_Copia_33	0.9999999	6.199225e-08
ClassI_LTR_Copia_34	1.0	1.1862653e-09
ClassI_LTR_Copia_36	0.99998856	1.14555405e-05
ClassI_LTR_Copia_37	1.0	2.6426915e-15
ClassI_LTR_Copia_38	0.99993885	6.1172555e-05
ClassI_LTR_Copia_39	0.99999595	4.0539285e-06
ClassI_LTR_Copia_40	0.9999901	9.83527e-06
ClassI_LTR_Copia_41	1.0	4.112149e-12
ClassI_LTR_Copia_42	0.99999905	9.967816e-07
ClassI_LTR_Copia_43	0.99999976	1.9254634e-07
ClassI_LTR_Copia_44	1.0	2.4879995e-17
ClassI_LTR_Copia_45	1.0	1.2258622e-10
ClassI_LTR_Copia_46	1.0	1.2076379e-17
ClassI_LTR_Copia_47	0.9999782	2.1821113e-05
ClassI_LTR_Copia_48	0.999997	3.018917e-06
ClassI_LTR_Copia_49	1.0	1.6192607e-19
ClassI_LTR_Copia_50	0.7367872	0.26321283
ClassI_LTR_Copia_51	1.0	1.821931e-12
ClassI_LTR_Copia_52	1.0	3.8178394e-09
ClassI_LTR_Copia_53	1.0	6.0994265e-12
ClassI_LTR_Copia_54	1.0	4.1540203e-14
ClassI_LTR_Copia_55	1.0	3.3471457e-13
ClassI_LTR_Copia_56	0.9999212	7.8733145e-05
ClassI_LTR_Copia_57	0.9999999	1.0547933e-07
ClassI_LTR_Copia_59	0.99999535	4.6447653e-06
ClassI_LTR_Copia_60	0.9999999	1.5067029e-07
ClassI_LTR_Copia_61	1.0	1.5568883e-09
ClassI_LTR_Copia_62	1.0	3.4847554e-15
ClassI_LTR_Copia_63	1.0	1.7935155e-10
ClassI_LTR_Copia_64	1.0	1.4787101e-12
ClassI_LTR_Copia_65	1.0	7.152525e-13
ClassI_LTR_Copia_66	1.0	4.16455e-09
ClassI_LTR_Copia_68	1.0	2.429372e-18
ClassI_LTR_Copia_70	0.3910118	0.6089882
ClassI_LTR_Copia_71	1.0	3.3568917e-08
ClassI_LTR_Copia_72	1.0	1.6572894e-09
ClassI_LTR_Copia_73	0.9999021	9.784473e-05
ClassI_LTR_Copia_74	1.0	1.4164797e-12
