TE_name	ClassI	ClassII	ClassIII
ClassII_DNA_P_1	0.00013320749	0.999866	7.554462e-07
ClassII_DNA_P_2	1.0619543e-05	0.9999871	2.26709e-06
ClassII_DNA_P_3	1.8831276e-08	0.9999596	4.0373052e-05
ClassI_nLTR_SINE_tRNA_4	0.9998036	0.00019591823	5.260887e-07
ClassI_nLTR_SINE_tRNA_5	0.99991107	8.88794e-05	5.8032933e-11
ClassI_nLTR_SINE_tRNA_6	0.99630666	0.003666749	2.6659276e-05
ClassI_nLTR_SINE_tRNA_7	0.99880016	0.001199877	3.1400845e-08
ClassI_nLTR_SINE_tRNA_8	0.99968934	0.00031071328	1.5888714e-08
ClassI_nLTR_SINE_tRNA_9	0.9983374	0.0016625877	1.224986e-08
ClassI_nLTR_SINE_tRNA_10	0.9999993	6.602327e-07	5.0512095e-16
ClassI_nLTR_SINE_tRNA_11	0.99998736	1.2670599e-05	3.8037248e-10
ClassIII_Helitron_12	1.4688888e-30	1.0	1.2663292e-37
ClassIII_Helitron_13	2.55023e-06	0.0008156457	0.9991818
ClassIII_Helitron_14	0.0003271037	0.006760978	0.9929119
ClassIII_Helitron_15	0.09793224	0.59400964	0.30805805
ClassIII_Helitron_16	0.0005095805	0.009763956	0.9897265
ClassIII_Helitron_17	0.0020838792	0.00040997993	0.9975062
ClassIII_Helitron_18	0.057669804	0.08417083	0.85815936
ClassIII_Helitron_19	0.00450032	0.09969119	0.8958085
ClassIII_Helitron_20	7.795851e-06	0.010918324	0.98907393
ClassIII_Helitron_21	6.0035704e-06	0.03719488	0.96279913
ClassIII_Helitron_22	6.4559565e-08	2.4948095e-05	0.99997497
ClassIII_Helitron_23	7.154686e-08	0.010378881	0.98962104
ClassIII_Helitron_24	0.0031752514	0.19797185	0.798853
ClassIII_Helitron_25	5.2955824e-07	0.06563032	0.9343691
ClassIII_Helitron_26	0.00024941517	0.04401872	0.9557319
ClassIII_Helitron_27	9.897133e-06	0.10387414	0.89611596
ClassIII_Helitron_28	8.917938e-05	0.0070891166	0.99282175
ClassIII_Helitron_29	3.2869666e-06	0.04319662	0.9568001
ClassIII_Helitron_30	0.00019956031	0.00035358203	0.9994468
ClassI_LTR_Copia_31	0.99999094	9.024721e-06	4.0486106e-10
ClassI_LTR_Copia_32	1.0	1.5770415e-16	3.381477e-20
ClassI_LTR_Copia_33	0.99999654	3.5010182e-06	9.330551e-11
ClassI_LTR_Copia_34	1.0	6.7187793e-09	7.461515e-14
ClassI_LTR_Copia_35	0.5535926	0.4464072	1.14916986e-07
ClassI_LTR_Copia_36	0.99935645	0.0006431623	3.9450424e-07
ClassI_LTR_Copia_37	0.99804676	0.0019521583	1.0482626e-06
ClassI_LTR_Copia_38	0.9976453	0.002354657	1.4364939e-08
ClassI_LTR_Copia_39	0.99990153	9.842154e-05	2.6125225e-08
ClassI_LTR_Copia_40	0.9999224	7.764451e-05	1.5936396e-09
ClassI_LTR_Copia_41	0.9995239	0.00047519366	9.797603e-07
ClassI_LTR_Copia_42	0.9991412	0.0008587107	7.2357134e-09
ClassI_LTR_Copia_43	0.9984132	0.0015867377	4.707705e-08
ClassI_LTR_Copia_44	1.0	2.851652e-09	6.799594e-14
ClassI_LTR_Copia_45	1.0	6.119078e-14	2.3010308e-18
ClassI_LTR_Copia_46	1.0	5.0780537e-14	2.8083336e-18
ClassI_LTR_Copia_47	0.99942976	0.000569463	6.611442e-07
ClassI_LTR_Copia_48	0.999997	3.0040862e-06	1.2233416e-12
ClassI_LTR_Copia_49	1.0	2.1771998e-12	2.0603749e-17
ClassI_LTR_Copia_50	0.9994925	0.00050737214	1.7675113e-07
ClassI_LTR_Copia_51	0.99101275	0.008987242	1.7403131e-08
ClassI_LTR_Copia_52	1.0	2.397062e-13	1.0863331e-18
ClassI_LTR_Copia_53	1.0	4.6011173e-10	6.7087413e-16
ClassI_LTR_Copia_54	1.0	6.433382e-10	3.2445285e-14
ClassI_LTR_Copia_55	1.0	1.4176783e-14	7.004391e-22
ClassI_LTR_Copia_56	0.9830839	0.016915103	8.881404e-07
ClassI_LTR_Copia_57	0.9956613	0.0042834906	5.51437e-05
ClassI_LTR_Copia_58	0.24253637	0.7573205	0.00014306161
ClassI_LTR_Copia_59	0.99595994	0.004038946	1.127773e-06
ClassI_LTR_Copia_60	0.98330104	0.016658396	4.0543142e-05
ClassI_LTR_Copia_61	1.0	2.5135756e-13	1.7414861e-19
ClassI_LTR_Copia_62	0.99956065	0.00043938783	1.2191117e-09
ClassI_LTR_Copia_63	1.0	2.4462965e-11	3.9745228e-17
ClassI_LTR_Copia_64	0.99998784	1.2217027e-05	1.9519175e-09
ClassI_LTR_Copia_65	1.0	9.1239766e-10	9.4236396e-11
ClassI_LTR_Copia_66	1.0	1.7738776e-11	4.0920286e-18
ClassI_LTR_Copia_67	0.002716726	0.9972807	2.548596e-06
ClassI_LTR_Copia_68	0.99999905	9.3823104e-07	7.24225e-11
ClassI_LTR_Copia_69	0.9581863	0.04180421	9.464212e-06
ClassI_LTR_Copia_70	0.8984201	0.101443395	0.00013649609
ClassI_LTR_Copia_71	0.99999416	5.8211626e-06	5.281045e-10
ClassI_LTR_Copia_72	0.99999654	3.4565262e-06	4.017659e-12
ClassI_LTR_Copia_73	0.97614974	0.023217019	0.0006332744
ClassI_LTR_Copia_74	0.9475348	0.052378442	8.6781e-05
ClassI_LTR_Copia_75	0.99999976	2.1875863e-07	2.3337898e-12
ClassI_LTR_Copia_76	0.63215965	0.36784017	1.437846e-07
ClassI_LTR_Copia_77	0.014406816	0.98557985	1.34080055e-05
ClassI_LTR_Copia_78	0.99404526	0.0059542404	5.268128e-07
ClassI_LTR_Copia_79	0.99995685	4.315473e-05	1.9725122e-09
ClassI_LTR_Copia_80	1.0	5.5381817e-11	6.1349266e-17
ClassI_LTR_Copia_81	0.99669397	0.0032297424	7.631939e-05
ClassI_LTR_Copia_82	0.97760415	0.022346359	4.9586426e-05
ClassI_LTR_Copia_83	0.9999999	2.9051417e-08	8.443893e-08
ClassI_LTR_Copia_84	0.9999374	6.225222e-05	3.2943282e-07
ClassI_LTR_Copia_85	1.0	1.450754e-08	5.1379854e-16
ClassI_LTR_Copia_86	1.0	2.086917e-10	7.460572e-15
ClassI_LTR_Copia_87	0.99999917	8.697202e-07	1.6759865e-12
ClassI_LTR_Copia_88	1.0	1.773368e-21	3.0584217e-26
ClassI_LTR_Copia_89	1.0	1.21752465e-14	4.7428132e-20
ClassI_LTR_Copia_90	0.99997365	2.351238e-05	2.8639572e-06
ClassI_LTR_Copia_91	1.0	6.586312e-17	1.4434494e-21
ClassI_LTR_Copia_92	1.0	5.4847355e-08	1.8763205e-11
ClassI_LTR_Copia_93	1.0	2.543993e-15	2.2758077e-21
ClassI_LTR_Copia_94	0.99999785	2.0900716e-06	1.2210915e-11
ClassI_LTR_Copia_95	0.99984837	0.00015157112	7.9302914e-10
ClassI_LTR_Copia_96	0.9871193	0.012875555	5.147771e-06
ClassI_LTR_Copia_97	1.0	1.9549414e-12	8.19883e-17
ClassI_LTR_Copia_98	1.0	4.934932e-10	1.3236935e-15
ClassI_LTR_Copia_99	0.96441597	0.035583723	2.525206e-07
ClassI_LTR_Copia_100	0.9999926	7.361344e-06	5.2098956e-09
ClassI_LTR_Copia_101	0.013165402	0.9861611	0.00067349337
ClassI_LTR_Copia_102	1.0	4.4815016e-11	2.3421334e-16
ClassI_LTR_Copia_103	1.0	1.3272742e-14	3.5853077e-22
ClassI_LTR_Copia_104	1.0	2.8023976e-08	1.0726099e-08
ClassI_LTR_Copia_105	1.0	1.3079813e-17	1.1203457e-20
ClassI_LTR_Copia_106	0.9610058	0.03899413	9.0346724e-08
ClassI_LTR_Copia_107	1.0	1.9177264e-11	2.3502075e-15
ClassI_LTR_Copia_108	0.68186486	0.31778035	0.00035492377
