TE_name	ClassII_DNA_MITE	ClassII_DNA_nMITE
ClassII_DNA_P_1	0.9999969	3.1254235e-06
ClassII_DNA_P_2	4.2392194e-06	0.9999957
ClassII_DNA_P_3	0.0	1.0
ClassIII_Helitron_12	0.0	1.0
ClassI_LTR_Copia_67	0.9999918	8.282663e-06
ClassI_LTR_Copia_77	0.0	1.0
ClassI_LTR_Copia_101	1.0	1.259699e-08
ClassI_LTR_Copia_112	1.0	3.7564224e-08
ClassI_LTR_Copia_145	0.99997973	2.024472e-05
ClassI_LTR_Copia_155	0.0016194879	0.99838054
ClassI_LTR_Copia_157	1.0	3.8668732e-10
ClassI_LTR_Copia_168	0.4187704	0.5812296
ClassI_LTR_Copia_203	0.99996865	3.131883e-05
ClassI_LTR_Copia_223	0.99999523	4.7821795e-06
ClassI_LTR_Copia_298	1.0	2.0413802e-09
ClassI_LTR_Copia_316	2.4840668e-37	1.0
ClassI_LTR_Copia_319	1.0	4.1453106e-08
ClassI_LTR_Copia_320	1.0	3.293006e-08
ClassI_LTR_Copia_321	0.0	1.0
ClassI_LTR_Copia_336	0.9999982	1.7875428e-06
ClassI_LTR_Gypsy_347	0.99999964	4.088165e-07
ClassI_LTR_Gypsy_424	0.011614329	0.9883857
ClassI_LTR_Gypsy_434	6.7114377e-21	1.0
ClassI_LTR_Gypsy_438	0.99999595	4.0023638e-06
ClassI_LTR_Gypsy_443	1.0	2.5408924e-09
ClassI_LTR_Gypsy_466	0.0	1.0
ClassI_LTR_Gypsy_468	0.9973348	0.00266522
ClassI_LTR_Gypsy_488	0.99999535	4.657455e-06
ClassI_LTR_Gypsy_501	0.071200565	0.9287994
ClassI_LTR_Gypsy_504	0.00036446028	0.9996356
ClassI_LTR_Gypsy_510	0.9998301	0.00016985151
ClassI_LTR_Gypsy_516	0.93978244	0.060217526
ClassI_LTR_Gypsy_533	1.0	3.827442e-09
ClassI_LTR_Gypsy_549	0.9999975	2.5138154e-06
ClassI_LTR_Gypsy_551	1.0	4.089888e-08
ClassI_LTR_Gypsy_569	0.9136034	0.08639654
ClassI_LTR_Gypsy_585	8.172309e-12	1.0
ClassI_LTR_Gypsy_590	0.0	1.0
ClassI_LTR_Gypsy_632	1.0	1.6882562e-09
ClassI_LTR_Gypsy_658	3.0293628e-05	0.9999697
