TE_name	ClassII_DNA_TcMar	ClassII_DNA_hAT	ClassII_DNA_Mutator	ClassII_DNA_P	ClassII_DNA_Harbinger	ClassII_DNA_CACTA
ClassII_DNA_P_1	0.018799605	0.024464034	0.0028577147	0.8943003	0.0038288108	0.0557495
ClassII_DNA_P_2	5.9882932e-05	0.0014018483	2.8128381e-05	0.9911357	1.5594842e-05	0.007358804
ClassII_DNA_P_3	0.0037771233	0.00092563406	0.0006955337	0.93192655	0.0002243437	0.062450938
ClassIII_Helitron_12	1.0	3.0919297e-38	0.0	0.0	0.0	0.0
ClassIII_Helitron_15	0.029517006	0.24210353	0.70600575	0.0002603097	5.149322e-05	0.022061838
ClassI_LTR_Copia_58	0.43673867	0.1351666	0.0038972502	0.02171941	0.21424219	0.18823592
ClassI_LTR_Copia_67	0.037858568	0.8641555	0.09495594	1.2362545e-05	7.0799365e-06	0.0030105286
ClassI_LTR_Copia_77	0.012473754	0.05040292	0.45506787	0.008009628	0.004234586	0.46981126
ClassI_LTR_Copia_101	0.06474263	0.1732534	0.30137396	0.00077126763	0.39000437	0.06985431
ClassI_LTR_Copia_112	0.0048662946	0.0009157359	0.020004783	0.00018607435	0.9648018	0.009225336
ClassI_LTR_Copia_142	0.0018473233	0.0040877257	0.0140165575	0.00092284585	0.9709727	0.008152843
ClassI_LTR_Copia_145	0.63270366	0.022231601	0.3230224	0.0001813403	0.01964232	0.0022187503
ClassI_LTR_Copia_149	0.66329783	0.3157909	0.00037104182	0.0001973411	0.0006024424	0.019740492
ClassI_LTR_Copia_155	0.099768564	0.145666	0.0065533053	0.0027994614	0.01333491	0.73187774
ClassI_LTR_Copia_157	0.411573	0.098898694	0.39900377	0.008684984	0.013225551	0.068614095
ClassI_LTR_Copia_168	0.0038591488	0.9896904	1.4885538e-05	0.00013984916	0.0061465865	0.00014919271
ClassI_LTR_Copia_203	0.12446306	0.18330516	0.30273128	0.001705172	0.38131332	0.006481902
ClassI_LTR_Copia_223	8.286029e-05	0.76448137	0.0013266981	7.092436e-08	0.23309694	0.0010120225
ClassI_LTR_Copia_254	0.49842125	0.055137444	0.0003385126	4.2711313e-06	0.44573945	0.00035912808
ClassI_LTR_Copia_293	0.0029615625	0.12565702	0.8442969	6.2089916e-06	0.0029526367	0.024125677
ClassI_LTR_Copia_298	0.4007476	0.4673891	0.011765384	0.0010655113	0.016026689	0.10300568
ClassI_LTR_Copia_313	0.0029615625	0.12565702	0.8442969	6.2089916e-06	0.0029526367	0.024125677
ClassI_LTR_Copia_316	0.036809284	0.23855041	0.01698759	0.03121891	0.6601935	0.016240336
ClassI_LTR_Copia_319	0.8940644	0.07760313	0.0027138668	0.00019392643	0.0005713064	0.024853235
ClassI_LTR_Copia_320	0.14269808	0.10721219	0.0013290747	0.003261111	0.73024076	0.015258803
ClassI_LTR_Copia_321	1.810308e-05	0.00015759181	0.0015647954	7.896542e-07	1.3890785e-07	0.99825853
ClassI_LTR_Copia_336	0.0016153441	0.020049987	3.99967e-05	3.9316437e-06	0.9782829	7.851781e-06
ClassI_LTR_Gypsy_341	0.18469165	0.0063571637	0.38892323	0.0006393376	0.26306683	0.15632181
ClassI_LTR_Gypsy_347	0.8401655	0.0020756838	0.15753216	4.0397995e-06	0.00014430295	7.8350495e-05
ClassI_LTR_Gypsy_388	0.041749414	0.8578024	0.002522337	0.0006562253	0.007461698	0.08980808
ClassI_LTR_Gypsy_424	0.98731613	0.011342047	3.1447203e-06	0.0001778666	0.0005676778	0.0005932303
ClassI_LTR_Gypsy_434	0.52134424	0.46780923	0.003779617	0.005437126	9.139654e-05	0.0015384223
ClassI_LTR_Gypsy_438	0.013627941	0.44693395	0.52246916	3.862599e-05	0.016182521	0.00074771076
ClassI_LTR_Gypsy_443	0.1275457	0.7743638	0.023146397	0.0008856691	0.037422	0.036636423
ClassI_LTR_Gypsy_466	0.023378232	0.0055041187	0.07354027	0.005408769	0.00089954986	0.891269
ClassI_LTR_Gypsy_468	0.0031189786	0.5940601	8.504787e-07	3.9269294e-06	0.40273303	8.3228566e-05
ClassI_LTR_Gypsy_488	0.00087465486	0.008127237	0.00021504106	7.866928e-07	0.9907746	7.727865e-06
